DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI clf
6.1,6.8,67,1.1,0.58,80,394,3
7,6.7,61,1.3,0.28,168,248,3
5.2,6.9,81,1.5,0.37,71,465,2
6.1,8,510,1.1,0.72,784,1572,1
6.5,6.9,12150,1.8,0.52,711,1481,2
7.9,7.2,50,1.1,0.3,319,845,2
7.5,6.9,34,0.9,0.14,110,256,3
7,7.4,72,1,0.38,496,897,2
7.3,7.3,99,0.9,0.23,1088,1788,2
7.5,6.9,125,1.6,0.45,970,1400,2
6.8,6.9,116,1.7,0.4,825,1260,2
5.8,7.3,107,0.9,0.88,232,343,2
7.1,7.2,85,0.8,0.31,67,184,3
6.8,7.1,58,0.7,0.46,2010,3460,1
5.7,7.3,13197,1.5,0.35,46,144,2
6.7,7.1,58,1.2,0.39,964,1739,2
7,6.9,3453,0.9,0.17,56,278,3
6.5,7,14369,1.3,0.27,63,175,2
6.6,7.3,70,1.4,0.39,838,1875,0
7,7.3,60,0.8,0.18,631,1813,2
6.3,7.2,97,0.8,0.56,357,880,2
6,7,63,1.1,1.04,243,493,2
4.4,7.1,113,1.5,1.17,358,722,2
4.5,7.2,79,1,1.04,279,537,2
5.1,6.9,1789,2.1,0.68,408,1946,2
7.5,7.2,36,1.1,0.27,282,1134,2
6.8,7,59,1.3,0.32,648,2267,2
6.8,6.9,114,1.4,0.23,388,1785,2
5.9,6.8,1108,2.2,0.62,386,1520,2
4.9,6.7,88,2.2,0.28,480,2200,2
6.8,6.9,1686,1.4,0.25,236,1223,2
7.1,6.9,45,1.2,0.29,451,1636,2
6.9,6.6,56,1.1,0.3,177,542,3
6.5,6.3,49,1,0.22,87,323,3
4.9,6.6,169,2.1,0.76,250,1241,2
6.9,7.1,63,0.9,0.16,152,336,0
6.6,6.7,69,0.8,0.38,185,464,3
4.5,6.6,6381,2.1,0.34,196,435,2
6.2,7.2,9326,1.3,0.22,61,141,2
6.6,7.1,15158,1.1,0.26,126,810,2
6.3,7.3,74,1.2,0.29,725,1813,2
6,7.6,429,1.1,1.1,3,362,2
6,7.8,308,1.1,1.47,3,343,2
5.8,7.4,505,0.6,0.73,4,1517,2
6.1,7.5,465,0.5,0.34,4,1458,2
6.4,7.1,183,2.3,0.62,209,398,2
7.1,7.4,135,1.9,0.72,419,995,2
6.7,7.2,103,1,1.013409091,11,70,0
6.8,7.1,106,1,1.013409091,13,137,3
7.8,7.9,213,1.5,0.35,7742,15083,0
7.7,8.1,312,2,0.75,12675,32017,0
6.9,7.6,99,1.6,1.39,3066,5395,0
7.3,8,230,1.6,0.69,2346,4348,0
6.8,8.1,264,2.6,1.16,2428,5142,0
7.2,8.1,272,3.1,1.46,2196,4586,0
8,8.3,312,1.4,0.73,1618,4319,0
7,8,199,1.8,1.11,1503,3573,0
7.2,8.1,201,1.6,0.36,1239,2324,1
6.8,7.5,890,2.1,0.51,274,589,2
7.3,7.6,160,1.9,0.06,32,89,2
7,7.7,111,2.2,0.08,53,131,2
6.7,7.7,139,3.1,0.22,123,300,1
7.2,7.2,288,2.1,0.14,33,91,2
7,7.1,95,1.9,0.08,47,118,2
7,7.5,84,1.7,0.06,32,87,2
7.4,7,3101,15.6,0.15,76,174,0
7.2,7.3,510,2.9,0.08,46,123,2
7.1,7.4,88,1.8,0.07,34,90,2
7.2,6.9,338,3.8,0.07,44,104,2
6.7,7.6,162,3.3,0.16,90,249,1
6.7,7.6,182,4.1,0.15,92,251,1
6.8,8,414,3.1,0.88,2200,1554.5,0
5.5,7.4,635,8.8,5.08,1400,5500,0
5.5,7.4,1051,25,6.8,32000,63000,0
5.3,7.3,636,9.9,5,2150,10000,0
5.1,7.4,993,21.9,6.63,36250,57750,0
5.3,7.5,632,13.5,5.08,20000,34750,0
4.9,7.4,973,17.5,4.77,22000,40667,0
4.3,7.5,1156,24.5,7.65,33750,65000,0
4.8,7.4,904,26,8.6,31750,55000,0
5.1,7.4,1110,16,14.85,3475,12000,0
5.3,7.4,1290,26.9,8.1,36250,66250,0
4.9,7.4,990,27.8,6.78,19000,40500,0
5.2,7.4,914,20.5,6.18,14750,29500,0
6.4,7.9,1808,21,5.9,2200,1554.5,0
6.6,7.8,1302,18,7.637179487,2200,1554.5,0
6.4,8,1286,19.5,7.637179487,2200,1554.5,0
4.8,7.5,280,2.4,0.72,3,4,1
7.7,7.4,344,1.2,0.37,9,19,2
7.3,7,310,1.4,0.38,13,22,3
7.1,7.7,303,1.5,0.34,13,23,2
6.2,7.5,788,41.5,4.08,105,235,0
6,8.3,468,1.4,0.43,5,16,1
5.9,7.3,234,1.5,0.36,4,12,2
6.4,8,527,1.2,0.35,5,21,2
5.9,7.9,796,1.5,0.48,4,14,2
7.3,7.4,388,2.1,0.58,4,46,2
7.7,7.2,95,1.8,2.67,22,50,2
7.6,7.2,92,2.5,2.41,20,45,2
9.9,7.2,65,1.5,2.31,21,55,3
7.6,7.4,93,2.1,2.89,276,408,2
5.5,2.9,568,6.8,1.12,18,33,3
7.6,7,42,1.3,3.01,11,27,3
7.7,7.1,45,1.4,2.89,9,22,3
8.3,7,59,1.7,2.86,16,33,3
7.7,6.3,250,2.1,3.88,180,326,3
8.8,7.3,37,1.5,1.62,15,35,3
7.3,7.3,72,2,1.65,17,36,2
7.5,7,38,1.7,2.2,18,40,3
7.8,7.1,44,1.6,2.62,15,33,3
7,7,100,2.4,3.03,1967,2600,0
7.5,6.3,52,1.7,0.82,7,21,3
6.4,6.9,61,2.6,3.88,227,538,2
7.5,7.1,39,1.4,2.88,12,22,3
8,7.1,41,1.4,3.35,10,25,3
7.9,7.3,93,1.7,5.02,295,418,2
7.5,6.9,69,1.9,4.92,20,49,0
7.9,7.2,46,1.7,2.72,20,45,2
8,7.2,42,1.4,2.47,5,31,3
7.7,7.1,101,1.5,3.42,16,43,3
7.2,7.1,49,1.6,2.86,17,40,2
8.2,7.1,49,1.2,2.81,15,32,3
7.8,7.1,58,1.5,2.97,19,43,3
3.9,7.1,235,16.9,16.61,16500,23000,0
4.9,7.1,182,14.2,11.61,10417,15500,0
2.7,7.1,281,35.4,14.84,41000,62667,0
2.5,7.1,382,37.2,11.81,53083,87167,0
8,7,48,1.4,3.8,17,41,3
8.4,7.1,48,1.2,3.08,18,45,3
6.8,6.6,49,1.9,3.07,18,38,3
2.1,7,286,45.6,10.61,51250,84500,0
4,7.1,194,22.4,10.47,29500,45250,0
7.7,7.2,107,6.6,3.02,285,425,0
7.6,7.1,51,2,2.6,37,81,2
7.7,7.1,46,1.6,3.93,8,22,3
7.7,7.1,49,1.9,3.89,11,26,2
6.5,7.4,297,1,0.13,26,438,2
6.3,7.5,287,0.9,0.14,5,204,2
6.5,7.2,375,1.1,0.17,33,625,2
6.9,6.9,349,1.1,0.18,38,503,3
6.6,7.8,165,1.6,0.43285,268,316,2
6.4,8,155,3.9,0.5,512,516,0
6.5,8,168,4.2,0.99,488,616,0
6.7,7.7,218,5,1.31,150197.5,919628.2857,0
4.2,7.9,4909,18,7,146.8888889,1075,0
6.7,8.5,235,57.52727273,3.1,146.8888889,1075,0
6.7,8.3,262,57.52727273,10.24692308,146.8888889,1075,0
6.8,7.8,227,57.52727273,10.24692308,146.8888889,1075,0
6.8,8.5,249,57.52727273,0.11,146.8888889,1075,0
4.2,8.2,2754,42,10.24692308,146.8888889,1075,0
7.1,7.3,212,1.4,0.84,3,6,2
5,8.3,12771,4.1,1.48,7,30,0
6.7,8,304,1.5,0.18,1500,3550,0
5.8,7.7,1315,2.5,0.22,1900,6800,0
7.6,7.7,1291,10,0.34,23,77,0
4.3,8.4,605,6.5,1.68,5,15,0
3.7,8.2,600,4.3,1.66,6,20,0
4.6,7.2,729,4,0.33,900,2300,0
6.2,8.4,2670,1.3,0.24,6934.054348,13768.42553,0
6.8,6.5,43,1.1,0.42,8,178,3
6.6,7,59,1.1,0.27,8,113,3
6,6.2,106,1.5,0.28,9,166,3
5.9,6.6,516,1.1,0.18,8,169,3
7.3,6.1,87,0.9,0.33,6,169,3
7.3,5.9,74,1.5,0.22,8,163,3
6.7,6.3,127,2,0.44,10,149,3
6.8,6.2,226,1.6,0.18,9,151,3
7.1,5.9,93,1.8,0.28,9,131,3
7.4,6.2,76,1.3,0.41,11,133,3
7.3,6.2,113,1.2,0.33,9,137,3
7.3,5.9,100,1.3,0.27,6,173,3
6,5.9,273,1.8,0.31,10,171,3
6.1,6.5,201,2,0.43,9,149,0
6.2,6.3,245,1.8,0.31,7,135,3
7,6.5,75,0.9,0.22,7,166,3
7.3,6,74,1.6,0.11,8,181,3
7.1,7.9,108,3.3,0.42,65,137,1
7.1,7.7,111,4.4,0.32,107.4593301,234.5779817,1
7,8,129,3.5,0.49,40,105,1
7,8,130,3.3,0.46,33,93,1
5.7,7.4,2323,6.3,1.47,400,541,0
5.9,7.6,462,4.9,2.47,23,63,1
7,7.7,107,3.8,0.4,131,285,1
6.2,7.4,299,5.1,0.95,209,401,1
7.2,7.9,77,3.2,0.42,164,282,1
6.8,7.8,350,2.6,1.99,2,72,2
6.9,7.5,133,3.2,0.55,252,409,1
6.9,7.5,143,3.4,0.54,149,307,1
6.1,6.9,609,4.2,3.1,65,135,1
6.8,7.4,129,3.2,0.86,51,133,2
6.7,7.4,130,3.2,0.75,45,124,2
6.6,7.4,130,5,0.74,67,158,1
6.7,7.5,120,3.6,0.73,85,226,1
7.1,7.9,139,3.2,0.45,74,147,1
6,7.4,13925,59.1,3.08,4,116,0
6.7,7.7,274,2.3,2.04,5,88,2
6.3,7.9,326,2.5,2.32,2,71,1
6.3,7.9,7392,2.4,6.41,4,71,1
6.3,7.7,12051,4.4,5.37,4,102,1
7,8.3,162,3.8,0.48,44,90,1
7,8.3,212,3.6,0.44,47,90,1
7.1,8.3,227,3.2,0.48,67,124,1
6.8,8.2,314,4.3,0.45,28,69,1
6.8,7.8,151,3.4,0.5,601,740,1
7,7.8,123,3.4,0.44,42,100,1
6.9,7.8,139,3.3,0.76,85,169,1
6.8,8.2,313,4,0.49,49,99,1
6.7,7.8,215,2.5,0.83,2,51,2
6.7,7.8,204,2.5,0.77,2,68,2
6.9,7.7,205,2.2,0.93,2,55,2
7.1,6.9,72,0.5,0.25,278,641,3
6.6,6.9,70,0.9,0.49,223,495,3
6.9,7.1,52,0.8,0.18,46,520,3
7.2,7,830,0.8,0.16,94,654,3
6.3,6.9,95,1.3,0.99,750,1325,2
7.2,7.4,164,0.9,0.46,1325,2225,1
6.9,7.5,231,0.8,0.55,1000,1725,0
6.5,6.9,101,1.3,0.47,468,1127,2
7.1,7.1,64,0.6,0.4,283,646,3
7.1,7.1,4600,0.6,0.35,229,538,3
7.5,7.2,52,0.6,0.15,285,900,3
2,6.8,265,2.4,2.3,1525,5425,0
5.6,7,12769,1.2,0.41,725,1650,2
7.1,7,90,0.6,0.64,338,625,3
6.1,7,248,0.8,0.66,500,1150,2
6,7,94,1.1,0.13,183,370,2
6.5,7.5,76,0.8,0.08,275,585,2
1.5,6.6,192,3.6,0.92,881,2978,0
2,6.8,79,2.4,0.2,456,1275,1
7.2,7.1,52,0.6,0.15,298,687,3
7.2,7.3,54,0.9,0.25,330,610,2
0.8,7.1,1239,11.9,1.87,4250,11000,0
6.4,6.5,58,1.3,0.34,255,960,3
6.3,6.8,77,1.2,0.16,73,208,3
5.4,6.6,80,1.6,0.27,335,775,2
5.8,7.8,666,1,0.24,993,1650,1
6.6,7.2,12768,1.1,0.13,88,1412,2
7.7,7.2,44,1,0.28,29,148,3
7.1,7,27,0.4,0.11,73,218,3
7.3,7.2,59,0.6,0.19,160,465,3
7.8,7.1,119,0.7,0.87,875,1725,2
7.3,7.1,54,1.3,0.41,415,913,2
7,6.6,104,1.5,0.49,500,1000,2
6,7.2,92,0.7,0.38,765,1390,2
6.8,6.6,48,0.5,0.44,1225,2025,2
7,7,56,1.1,0.43,768,1725,2
6.7,6.9,2531,0.5,0.22,308,465,3
6.2,7.2,15362,0.8,0.39,830,1303,2
7.3,7.2,62,0.8,0.95,525,985,2
7.6,7.2,59,0.6,0.65,463,1163,2
6.4,6.8,83,0.5,0.42,175,575,3
7,6.6,50,0.6,0.75,295,578,3
6.7,6.8,76,1.2,1.21,310,625,2
6.7,6.6,64,0.9,1.35,428,838,3
5.6,6.9,943,1.5,0.4,655,1925,2
7.4,7,38,0.9,0.26,386,1196,2
6.7,6.9,43,1,0.3,1043,2750,2
7.1,7.3,48,1.5,0.36,595,1775,2
6.2,6.8,309,1.6,0.39,1129,2725,1
5.2,6.8,61,1.8,0.33,1123,2650,1
6.8,6.9,995,1.1,0.24,349,1258,2
6.8,6.9,52,0.9,0.45,39,198,3
6.2,6.6,44,0.7,0.21,715,1630,2
4.5,6.5,77,1.1,0.34,400,2675,2
7,7.4,69,1,0.12,230,660,2
6.5,6.8,58,0.5,0.24,303,1026,3
4.6,6.9,98,0.6,0.11,168,348,2
6.6,7.3,12327,0.6,0.71,1326,2210,1
7.1,7,51,1,0.78,750,1700,2
6.2,7.5,371,1.1,1.62,3,528,2
6.2,7.7,316,1.3,2.41,3,312,2
7.3,7.1,241,2.9,1.17,100,185,2
7.7,7.4,121,1.4,0.64,378,1255,2
6.5,7.3,64,1,2.6,236,420,2
6.9,7.4,57,1,1.28,46,409,2
7.5,8,211,1.9,0.39,3005,6858,0
7.2,8,263,3.7,0.63,6625,14725,0
7,7.6,111,1.6,0.67,1081,2743,1
7.5,7.9,205,1.5,1,1615,3542,1
7.1,7.7,283,2.3,1.73,2882,6692,0
7.4,8,263,1.7,0.65,3113,6617,0
8.1,8,300,2.3,0.45,2272,4569,0
7.8,8,13103,2.1,0.59,277,739,1
7.4,8,207,1.5,0.53,1356,2872,1
7.2,8,198,1.4,0.57,677,1850,1
6.3,7.6,830,1.8,0.24,738,2020,1
7.4,7.6,104,1.2,0.09,738,2020,2
6.9,7.8,440,3.4,1.21,2200,1554.5,0
5.8,7.2,732,8.5,3.83,1089,4838,0
5.6,7.4,1322,15.3,15,16750,41500,0
5.4,7.3,809,10,4.2,4278,8975,0
5.7,7.3,1103,14.3,13.75,20250,52500,0
5.7,7.5,906,24,14.18,7863,17625,0
3.5,7.4,1064,20,13.2,8000,14500,0
3.2,7.6,1197,27.3,19.2,20250,40250,0
4.7,7.3,1383,32.8,16.4,14388,42875,0
4.8,7.4,1063,16,5.03,3138,8025,0
5.3,7.5,1532,18.3,15.8,27000,63500,0
5.6,7.5,1269,34.5,12.15,22000,60000,0
5.4,7.4,1194,22,8.3,10000,35000,0
6.1,6.8,780,14.7,7.637179487,2200,1554.5,0
6.1,6.8,773,14.7,7.637179487,2200,1554.5,0
6,7,820,15.3,7.637179487,2200,1554.5,0
4.8,7.9,650,3.2,0.68,6,62,1
5,7.3,390,2.8,0.14,4,20,1
8.3,7.6,334,1,0.49,9,16,3
8.2,7.7,316,1.2,0.48,11,20,2
8.3,7.6,304,1.2,0.51,12,20,2
5.5,7.6,743,7.6,1.02,81,166,0
5.1,7.8,657,1.7,0.26,6,23,2
5.3,7.8,623,1.7,0.390103448,5.793103448,59.86206897,2
7.8,7.2,139,1.9,0.56,263,359,2
6.5,3.1,489,6.1,0.52,32,47,3
7.3,7,162,2.2,0.69,2085,2633,0
7.8,7.1,136,1.9,0.52,303,409,2
7.7,7.1,205,7,0.84,303,461,0
8.1,7.1,267,1,0.11,2,12,3
8,7,278,1.1,0.11,3,18,3
6.9,7.2,268,1.1,0.11,6,37,0
6.8,7.1,286,1.3,0.11,8,29,2
6.6,7.8,149,1.8,0.43285,209,340,2
6.3,8,164,3.4,0.3,380,528,1
6.6,7.9,196,4.4,0.8,425,648,0
5.6,7.5,15608,25,18.73,5,5,0
5.8,7.8,378,21.94722222,2.61,150197.5,919628.2857,0
6.6,7.7,489,21.94722222,2.66,350,350,0
6.6,7.4,492,21.94722222,3.6,150197.5,919628.2857,0
6.2,7.8,359,21.94722222,3.67,4,919628.2857,0
5.8,7.7,8757,21.94722222,10.45,4,4,0
5.1,8.1,533,3.7,0.45,3900,7500,0
7.1,8,555,2,0.35,7500,15000,0
8.1,7.6,938,8.6,0.4,22,108,0
6.2,7.8,7778,2.7,0.26,2880,6581,0
5.361087912,7.2,1440,46,0.2,80,330,0
3.2,7.7,885,6.3,0.51,3900,9575,0
6.6,6.5,58,1.8,0.87,0,53,3
6.6,6.6,145,1.5,0.65,4,98,3
6.3,6.6,55,1.8,0.36,8,140,3
6.4,6.4,188,2,0.44,15,153,3
6.9,6.2,61,1.7,1.07,7,117,3
7.2,6.1,62,2.6,0.92,8,123,3
6.9,6.6,154,1.9,0.83,17,173,3
7,6.3,742,1.6,0.42,8,139,3
7.6,6.2,62,1.1,0.38,12,160,3
7.1,6.2,69,1.4,0.56,7,141,3
6.8,6,93,1.9,0.75,9,136,3
7.1,6.2,89,1.4,0.68,6,119,3
6.3,6.2,110,1.5,0.59,8,157,3
6.2,7,77,1.8,0.46,11,173,2
6.2,6.8,67,1.7,0.61,8,145,2
6.9,6.5,62,1.4,0.6,10,107,3
6.7,6.2,62,0.9,0.57,8,187,3
6.8,7.9,119,3.5,0.58,286,517,1
7,7.7,88,3.2,0.13,8,17,1
6.9,7.3,70,3.4,0.19,107.4593301,234.5779817,2
7.4,7.2,77,3,0.23,107.4593301,234.5779817,2
7,7.4,3113,4,2.16,95,350,1
5.5,8.1,363,8.4,2.15,16,69,0
6.9,7.5,86,3.6,0.4,316,582,1
6.4,7.4,621,37.8,1.79,413,728,0
6.9,7.4,73,3.5,0.27,482,659,1
3.4,7.4,17842,31.5,3.32,1767,1767,0
7.4,8.1,254,2.2,0.15,3,75,2
6.7,7.4,125,3.7,0.4,514,820,1
6.6,7.5,129,3.9,0.4,129,381,1
6.1,7.3,515,5.1,2.02,82,212,1
6.6,7.4,122,3.6,0.46,172,361,1
6.5,7.3,131,3.8,0.79,108,261,1
6.7,7.3,130,3.4,0.57,133,318,1
6.6,7.4,95,3.7,0.53,147,217,1
6.8,7.7,143,3.6,0.43,38,109,1
6.3,7.5,10825,2.9,1.93,5,101,1
7.1,7.4,185,2.2,0.63,4,80,2
6.7,7.5,1439,2.5,1.47,4,113,2
6.6,7.5,185,2.4,0.3,6,113,2
6.7,7.8,3521,2.4,1.02,3,90,2
7.1,7.7,193,3.1,0.53,41,92,1
7.1,7.9,175,3.1,0.47,31,86,1
7.1,7.8,174,3.3,0.44,33,83,1
7.2,7.5,308,4,0.15,107.4593301,234.5779817,1
6.4,7.7,153,3.6,0.77,504,592,1
7,7.7,111,3.4,0.42,179,359,1
6.6,7.6,209,3.4,0.68,97,243,1
7.5,8.2,296,3.5,0.14,107.4593301,234.5779817,1
6.9,7.5,119,2.2,0.42,2,71,2
6.8,7.7,116,2.3,1.33,3,74,2
7,7.7,118,2.1,0.5,3,64,2
5.2,6.6,453,1.5,0.38,644,4613,2
7.2,6.8,35,1.1,0.24,513,3483,2
7,7.1,62,0.5,0.44,385,617,2
7,7.1,5228,0.6,0.34,240,455,0
7.2,7,51,0.6,0.26,285,522,3
6.7,6.9,62,1.2,0.46,385,2193,2
6.5,6.5,118,1.1,0.52,610,3080,2
0.6,7,1787,14.1,1.49,8542,17500,0
6.6,6.8,49,0.9,0.56,448,913,2
6.8,7.3,67,0.6,0.4,598,935,2
7.3,7.4,104,0.6,0.44,245,430,2
6.5,6.7,39,1.2,0.26,562,4823,2
7.2,6.5,45,0.9,0.46,1225,1825,2
7.4,6.9,65,0.9,0.56,575,1455,2
6.5,6.5,60,1,1.62,420,900,3
6.6,6.9,57,0.9,0.37,319,650,2
7.1,7,84,1,0.66,985,1485,2
7.5,6.8,56,1.3,0.6,178,540,3
5.4,6.7,100,0.9,0.42,463,810,2
7,6.9,66,0.7,0.45,465,900,2
7.1,6.9,75,0.6,0.73,300,583,3
6.5,6.7,70,0.9,1.25,370,800,0
6.7,6.6,102,0.8,0.12,295,900,3
7.1,6.8,27,0.6,0.22,86,198,3
6.9,7.1,46,0.5,0.33,225,373,3
6.7,6.8,8291,1,0.53,108,250,3
6.2,7,12342,1.4,0.27,670,1600,2
7.5,7.3,53,0.8,0.31,1253,2225,2
7.6,7.3,62,1,0.63,1175,2180,2
2.2,6.4,625,2.3,1.29,1125,6505,1
7.4,6.7,55,0.7,0.51,281,1088,3
7,6.8,103,0.7,0.43,225,640,3
5.3,6.9,109,1.3,0.66,305,685,2
6.3,7,1392,0.7,0.85,230,535,2
6.7,7,71,0.5,0.29,208,433,3
6,6.4,57,1.4,0.61,193,303,3
4.2,6.6,93,1.7,0.56,253,385,2
5.1,6.7,88,1.9,0.63,405,713,2
5.3,6.4,4912,1.1,0.11,345,788,2
6.9,7,84,0.9,0.08,300,803,2
2.8,7.4,18256,1.6,0.47,1050,2300,0
5.3,7.2,9753,0.9,0.26,1600,2650,1
6.5,5.8,67,0.4,0.54,123,520,3
6.9,6.1,86,0.6,0.49,73,183,3
7,6.6,59,0.8,0.42,123,418,3
5.6,6.4,7904,1,0.4,165,278,3
6.8,6,55,0.5,0.25,590,910,3
6,5.9,105,1,0.63,73,195,3
6.3,7,2759,1.4,0.22,963,1400,2
6.5,7.6,312,1.1,2.41,3,354,2
6.4,7.7,203,1.1,3.34,3,357,2
7.3,7.3,308,4.2,2.43,116,185,1
7.5,8.1,228,2.1,0.4,3390,5850,0
7.7,8.1,243,1.6,0.71,1930,4450,0
7.6,7.9,191,1.4,0.13,1188,1985,1
7.5,7.9,237,1.8,0.45,1225,2425,1
7.4,7.7,865,1.9,0.3,1300,2675,1
6.7,6.9,132,1.2,0.32,953,1823,2
7.1,7.9,211,1.4,0.48,1065,2098,1
6.7,7.9,182,1.1,0.24,735,1510,1
7.4,7,75,1.6,0.05,78,118,0
7.2,6.8,70,1.8,0.09,78,148,3
6.6,7,119,2.5,0.33,233,374,2
6.9,7,236,1.9,0.25,83,157,2
7,6.9,73,1.7,0.4,87,144,2
7.2,6.9,75,1.5,0.2,83,128,3
6.9,7.2,385,2.3,0.13,108,196,2
6.4,7.6,860,3.3,0.4,253,379,1
7.6,6.6,166,2,1.8,90,140,3
6.9,7.2,308,1.9,0.49,60,170,2
6.8,6.7,247,2.1,1.84,280,500,2
6.6,6.9,359,2.3,0.59,110,280,2
6.5,7.6,450,18,12,2200,1554.5,0
6.1,7.8,825,16,14,2200,1554.5,0
6.5,8.4,240,2.7,0.62,2200,1554.5,0
6.9,7.8,480,18,16,2200,1554.5,0
5.6,6.7,807,10.8,2,1825,7500,0
4.9,6.8,1097,26.5,4.8,14000,46250,0
4.9,6.6,834,13.1,2.6,2875,9500,0
5.2,6.7,1027,28,5.9,17500,57500,0
3.3,7.9,897,1.3,0.97,5,12,1
4.9,8,510,1.2,0.35,4,8,2
5,6.9,1172,25.5,3.8,15500,48750,0
4.7,6.7,906,25.3,7.7,23500,47500,0
5.4,6.8,883,15.4,5.1,9500,21750,0
5.1,7.6,1069,26.5,6.6,20250,49250,0
4.2,7.6,1168,31.8,7.6,20000,46500,0
4.8,6.6,905,15,3.3,6000,10500,0
4.5,6.6,1269,30.3,4.1,21000,42750,0
4.7,6.7,1216,26.8,3.7,13250,31500,0
5.2,7.3,465,0.9,0.59,4,9,2
7.8,8.2,410,1.2,0.1,16,32,2
6.7,8.12,396,1.53,0.15,10,29,2
8,8.1,403,0.8,0.1,12,25,2
7.85,7.13,254,6.68,3.35,345,488,0
6.58,6.5,655,5.93,4,40,60,1
7.58,7.03,191,2.08,2.65,2350,2900,0
8.23,7.05,137,1.4,3.2,243,323,3
8.23,7.38,143,1.55,3.55,255,360,2
6.6,7.3,210,1.3,0.508333333,8.5,242,2
6.8,7.2,220,1.5,0.508333333,28.08823529,97,2
6.8,7,317,1.5,0.508333333,8,45,2
6.4,6.7,323,1.4,0.508333333,19,205,3
6.5,7.7,146,1.6,0.25,302,390,2
6.2,7.7,176,3.5,0.2,532,592,1
6.3,8,198,4.2,0.3,524,686,0
7.3,7.4,332,0.7,0.3,6,12,3
6.1,7.3,11855,12.5,18.6,180,902,0
6.6,7.8,371,57.52727273,4.1,180,1800,0
6.2,7.4,368,8,3.2,265,1075,0
6.7,7.7,354,4,2.6,137,947,1
6.8,8,374,21,1.5,180,1800,0
5.9,7.4,7173,12,58.1,7,607,0
7.3,7.4,332,0.7,0.3,6,12,3
5.7,8,601,7.4,0.5,14600,28666,0
4.7,8.3,753,3.7,0.5,9166,21333,0
5.8,7.8,16177,3,0.5,10100,25000,0
2.5,7.5,1108,6,0.6,16,85,0
6.1,8.1,14921,3.2,0.3,4300,23625,0
0.6,7.1,3115,36.5,1.7,4450,15425,0
3.2,7.8,5073,5.8,0.2,833,1366,0
4.2,8.2,901,6.7,0.4,9750,21500,0
2.9,8.3,11405,5.6,0.1,49,148,0
7.2,6.3,14100,1.6,0.41,13,17,3
5.5,7.8,401,1.3,0.21,2,5,2
6.2,6.9,11000,1.3,0.48,13,17,2
8.1,7.7,7400,2.6,0.1,79,130,2
7.8,6.4,609,2.3,0.08,49,70,3
7.8,6.4,90,2,0.289966667,13,17,3
7.2,6.5,8240,1.6,0.25,17,46,3
4.2,7.6,5543,0.7,0.18,2,8,2
6.5,6.4,505,1.6,0.13,8,13,3
7.4,6.9,3844,2,0.15,5,10,2
5.4,7,7692,1.7,0.92,29,48,2
6.6,7.2,692,1.9,0.34,105,175,2
5.1,7.5,1100.655556,2.3,0.38,1201,1754,0
7.2,6.9,5350,2.2,0.28,134,206,2
7,6.8,4800,3,0.32,69,126,2
5.5,7.7,8092,7.6,0.72,410,800,0
6.9,7.6,136,3.8,0.26,143,309,1
6.9,7.7,120,3.9,0.37,207,280,1
6.7,8,111,3.6,0.31,45,143,1
6.9,7.3,229,3.8,0.68,108,257,1
6.8,7.5,171,3.8,0.34,88,199,1
6.9,7.3,183,2.2,1.25,2,56,2
5.4,7.2,925,11.7,0.78,279,512,0
6.2,7.2,13848,2.5,4.11,6,127,2
7,7.4,225,3.8,0.26,152,375,1
6.6,8.1,102,3.9,0.26,165,345,1
8.1,6.3,1414,1.1,0.31,100,690,3
6.9,6.8,41,0.8,0.22,261,1487,3
6.9,6.9,78,0.5,0.23,393,703,3
6.7,6.9,5507,0.6,0.28,433,715,2
7.3,7,49,0.7,0.66,228,445,3
6.7,6.7,67,1.3,0.4,309,1025,2
6.5,6.6,109,1.2,0.37,142,679,3
0.7,6.6,4235,12.5,1.48,40833,59417,0
6.9,6.5,108,1,0.42,540,1083,3
6.4,6.6,48,1,0.25,154,603,3
7.2,6.7,109,0.8,0.44,1000,1400,2
6.8,7.1,61,1.5,0.5,130,485,2
6.1,6.7,244,0.9,0.33,655,1113,2
6.8,7,62,0.6,0.93,240,434,3
7.1,7,59,0.8,0.71,540,890,2
7.4,6.6,64,0.7,0.29,288,1425,3
6.4,7,79,0.8,0.73,271,493,2
7.2,6.7,73,0.9,0.28,335,2150,3
6.2,7,83,0.6,0.93,282,505,2
6.1,6.7,55,1.4,0.55,825,1450,2
6.6,6.5,79,0.8,0.13,195,650,3
6.9,6.7,198,0.3,0.2,40,180,3
7.3,6.5,44,0.5,0.21,233,400,3
6.2,6.6,15738,1,0.93,233,360,2
5.2,7.1,18459,1,0.13,518,918,2
7.4,7,45,1.1,0.11,1043,1933,2
7.6,6.7,52,1.1,0.11,613,963,2
2.9,6.3,841,2,1.07,430,913,2
6.6,6.7,72,0.7,0.32,463,1655,0
6.4,6.7,122,0.7,0.34,343,1630,3
5.4,6.6,102,0.9,0.26,240,1913,2
6.2,7,5656,0.9,1.05,162,289,2
6.9,7.1,71,0.5,0.26,125,246,3
6.7,6.5,55,0.9,0.6,265,500,3
5.7,6.7,127,1.9,0.35,221,473,2
6,6.9,77,1.8,0.61,290,500,2
5.2,6.1,4968,1.1,0.14,235,820,3
