DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI
7.0,7.5,80.0,0.8,0.4,2573.0,3583.0,110.0371020289855
6.7,7.4,14526.0,0.8,0.6,1411.0,1969.0,86.90906956521741
7.2,7.4,82.0,0.7,0.5,840.0,1311.0,67.66596144927537
7.5,7.2,67.0,1.1,0.1,76.0,590.0,49.20144724637682
3.0,6.6,965.0,1.7,1.2,247.0,530.0,69.82928695652176
5.9,7.4,17990.0,0.7,0.5,1888.0,2803.0,101.34889188405798
6.7,7.5,90.0,1.6,0.9,199.0,473.0,65.4692295652174
6.1,7.4,4429.0,2.0,1.6,243.0,550.0,72.18100463768116
6.7,6.9,87.0,1.7,0.2,155.0,350.0,54.86177623188407
6.9,6.8,85.0,1.6,0.2,82.0,206.0,49.632982318840575
2.1,6.8,101.0,1.6,0.8,431.0,694.0,80.61453623188406
2.5,6.9,83.0,1.9,0.3,353.0,656.0,81.29100173913042
7.2,7.6,75.0,1.4,1.0,188.0,426.0,62.78358811594202
6.1,7.6,281.0,1.2,0.7,384.0,718.0,70.71350463768115
6.7,7.6,106.0,0.5,2.5,44.0,71.0,54.13254289855072
7.6,7.1,58.0,1.2,0.1,163.0,961.0,49.87190028985507
1.9,7.7,2941.0,26.9,2.8,10875.0,37375.0,560.8819968115941
7.4,7.0,35.0,0.1,0.0,165.0,409.0,39.26764086956521
6.4,7.2,63.0,1.3,0.4,121.0,535.0,57.27812376811594
5.4,6.7,65.0,1.1,0.3,60.0,144.0,50.19398
5.6,7.3,90.0,1.6,0.4,268.0,705.0,68.81045942028986
7.1,8.0,728.0,1.2,0.4,374.0,697.0,72.68655507246378
5.9,6.8,13953.0,1.5,0.4,70.0,166.0,56.35747855072464
7.4,6.9,57.0,1.1,0.3,70.0,159.0,44.26678086956522
7.2,7.2,41.0,0.7,0.2,441.0,658.0,55.19058144927536
6.5,7.4,71.0,0.6,0.3,4192.0,7018.0,145.45882347826088
6.8,7.1,81.0,0.8,0.0,389.0,1268.0,55.23606260869565
6.8,6.9,68.0,1.7,0.1,449.0,660.0,60.931175942029
6.6,7.0,70.0,1.4,0.1,550.0,822.0,63.24192985507246
6.4,7.7,100.0,0.6,0.9,56.0,88.0,58.2896904347826
7.3,6.9,96.0,1.9,0.2,89.0,825.0,52.39353449275364
6.8,6.6,49.0,0.5,0.4,1719.0,2950.0,73.700195942029
6.9,6.8,59.0,0.6,0.5,1916.0,3375.0,82.03664231884059
7.1,6.8,14410.0,1.8,0.1,65.0,468.0,53.263715072463775
6.7,7.1,66.0,0.6,0.0,222.0,626.0,50.11150956521739
7.2,7.0,59.0,0.6,0.0,165.0,433.0,44.6663747826087
6.0,7.6,120.0,1.3,1.1,212.0,523.0,68.24400492753622
5.2,6.8,55.0,0.6,0.7,171.0,313.0,50.9979672463768
4.8,6.8,86.0,0.7,0.8,208.0,332.0,54.647148405797104
3.9,6.9,62.0,0.5,0.7,155.0,284.0,57.74445768115943
5.0,6.9,3185.0,1.8,0.4,290.0,667.0,67.68212115942029
7.0,7.0,36.0,1.1,0.2,276.0,541.0,52.54821536231884
6.3,6.9,64.0,1.2,0.3,381.0,815.0,57.46289739130435
6.2,6.9,86.0,1.3,0.2,372.0,1007.0,58.66643101449276
5.7,6.8,2640.0,1.9,0.5,385.0,759.0,65.47448579710145
5.7,6.9,53.0,3.1,0.4,574.0,1205.0,81.52783246376812
6.6,7.1,2007.0,1.3,0.2,356.0,785.0,60.234263188405805
6.6,7.0,46.0,1.3,0.3,228.0,472.0,55.18011652173913
6.5,6.5,43.0,0.9,0.4,87.0,188.0,40.2720968115942
6.7,6.3,54.0,0.9,0.1,136.0,610.0,36.983282898550726
4.3,7.2,113.0,1.8,0.4,188.0,796.0,73.35606985507246
4.6,6.7,12561.0,1.5,0.6,72.0,171.0,60.63653565217392
7.7,6.9,61.0,1.6,0.0,88.0,554.0,47.7023
5.8,6.5,61.0,1.0,0.4,70.0,151.0,44.14502550724639
4.5,6.9,1614.0,2.1,0.6,131.0,230.0,68.80936260869566
6.6,7.0,14487.0,0.9,0.3,55.0,103.0,50.91185652173913
6.9,7.5,54.0,0.6,0.0,319.0,1633.0,58.45593565217391
5.5,7.6,569.0,1.3,0.9,18.0,141.0,66.35491304347825
5.4,7.8,310.0,0.8,2.4,7.0,107.0,65.73844
7.1,7.8,516.0,0.7,0.5,2.0,1238.0,56.6506684057971
6.9,8.0,505.0,0.9,0.7,2.0,1563.0,62.946188985507234
7.3,7.3,109.0,2.4,3.4,18.0,65.0,62.37996115942028
7.5,7.5,83.0,2.1,2.0,22.0,74.0,62.16578057971014
6.4,7.2,102.0,1.0,0.0,137.0,1223.0,55.09233043478261
6.5,7.1,92.0,1.0,0.0,155.0,1342.0,53.29702347826086
7.7,7.9,232.0,1.3,0.8,30790.0,40500.0,749.8341066666666
7.5,7.8,519.0,2.1,0.7,38700.0,53556.0,933.877407246377
7.3,7.2,103.0,0.7,1.7,4871.0,13810.0,155.68357449275362
7.4,7.9,196.0,0.7,0.6,5323.0,15213.0,177.55254086956523
